Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2011,01003,186717,148529,8362,50900
2011,01015,117797,93539,7010,39037
2011,01043,80536,64388,3561,40054
2011,01049,71375,56908,4054,36541
2011,01051,80162,63883,4158,57405
2011,01055,104303,83362,4023,33313
2011,01069,102369,80080,4162,40336
2011,01073,658931,521003,37685,41976
2011,01077,92781,75546,2349,40121
2011,01081,143468,116445,7465,42965
2011,01083,85369,68070,2725,46339
2011,01089,340111,271382,19463,54444
2011,01095,94166,73603,5544,39245
2011,01097,412577,322208,21377,42372
2011,01101,232032,181614,10667,44185
2011,01103,119953,94609,5589,43590
2011,01115,84398,67378,5554,47500
2011,01117,197936,153007,8512,65815
2011,01121,81664,64911,6837,30367
2011,01125,197211,159911,9105,42056
2011,01127,66661,53205,4098,34343
2011,02020,295570,228812,12387,72813
2011,02090,99192,76125,3254,65920
2011,02170,91946,68035,4783,68672
2011,04001,72401,52720,5846,31123
2011,04003,133289,106479,5417,40903
2011,04005,134511,107639,7515,45045
2011,04013,3880244,2985719,190147,50770
2011,04015,202351,166309,12217,35983
2011,04017,107398,79945,8696,30937
2011,04019,989569,792723,54712,44112
2011,04021,382992,292250,24035,44107
2011,04025,211888,178594,10429,41719
2011,04027,200870,152032,10276,38390
2011,05007,227556,170341,5957,52341
2011,05031,98315,76153,6876,37390
2011,05045,116342,90052,4798,49886
2011,05051,97124,78944,4171,34251
2011,05069,76246,60027,5216,39176
2011,05085,69341,52344,1827,48161
2011,05119,386299,303949,19313,43461
2011,05125,109526,85999,3405,53557
2011,05131,127127,98684,4590,35703
2011,05143,207521,160147,8349,37449
2011,05145,78167,61286,2809,44626
2011,06001,1529875,1227147,83865,67558
2011,06007,220266,180641,15910,39179
2011,06013,1066096,835497,63783,74353
2011,06017,180938,145905,13751,61084
2011,06019,942904,699661,69254,42807
2011,06023,134761,111460,8096,41187
2011,06025,177057,131869,11655,37843
2011,06029,851710,625879,56112,45224
2011,06031,153765,115845,9895,50345
2011,06033,64323,53175,5229,35991
2011,06037,9889056,7805258,612487,52280
2011,06039,152925,115395,3902,46570
2011,06041,255031,208748,11224,77168
2011,06045,87553,70352,7273,42431
2011,06047,259898,188542,19977,40055
2011,06053,421898,320936,24374,53179
2011,06055,138088,110444,6821,61460
2011,06057,98612,82749,5709,54080
2011,06059,3055745,2409171,153865,72293
2011,06061,357138,282443,18915,68959
2011,06065,2239620,1691343,160221,52883
2011,06067,1436105,1113328,106951,52314
2011,06071,2065377,1547527,152756,51247
2011,06073,3140069,2501213,169487,59477
2011,06075,812826,714891,36261,69894
2011,06077,696214,518436,58207,50853
2011,06079,271969,228059,12463,54195
2011,06081,727209,583702,35710,81657
2011,06083,426878,341967,22345,60505
2011,06085,1809378,1422625,95367,84895
2011,06087,264298,216382,11777,62513
2011,06089,177774,143584,10949,42062
2011,06095,416471,328099,27296,63795
2011,06097,488116,394979,26439,61020
2011,06099,518522,390247,44275,44076
2011,06101,94919,71757,7514,49533
2011,06107,449253,319744,32527,41167
2011,06111,831771,646868,46951,74623
2011,06113,202054,163033,12163,49594
2011,06115,72578,53674,6307,43961
2011,08001,451443,334729,29563,52325
2011,08005,584948,451961,29962,56722
