Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2014,01001,55395,43184,1500,54528
2014,01003,200111,160204,6760,48461
2014,01005,26887,21835,1554,39342
2014,01007,22506,19102,715,39012
2014,01009,57719,45844,2079,45524
2014,01013,20428,16169,721,32027
2014,01015,115916,93147,5595,41428
2014,01017,34076,27613,1422,33407
2014,01019,26246,21225,934,36826
2014,01021,43931,34116,1504,41158
2014,01025,26118,21374,1907,36337
2014,01031,50909,40608,1400,47144
2014,01033,54543,43797,2608,43959
2014,01039,37914,30549,1346,37282
2014,01043,81289,64854,1862,38261
2014,01045,49484,38810,2357,42686
2014,01047,41711,32727,2269,24327
2014,01049,71065,55547,1355,35023
2014,01051,80977,64514,3373,55530
2014,01053,37733,30191,2105,37344
2014,01055,103531,83571,5011,40529
2014,01059,31601,25228,1428,32321
2014,01061,28753,23161,1491,34203
2014,01069,104193,82477,3994,39543
2014,01071,52665,42598,2481,32705
2014,01073,660793,525561,28379,44646
2014,01077,93096,75582,3533,40309
2014,01079,33477,26852,841,43317
2014,01081,154255,124554,4752,39932
2014,01083,90787,71734,3430,49672
2014,01089,350299,280615,13523,58339
2014,01091,18888,16054,577,25282
2014,01093,30271,24430,744,39586
2014,01095,94636,73811,2863,33446
2014,01097,415123,327918,14763,43642
2014,01099,20977,17025,1226,31102
2014,01101,226189,179021,10911,43346
2014,01103,119607,94455,3090,44708
2014,01107,18201,14626,934,26990
2014,01109,33389,27741,1399,30524
2014,01111,22539,18177,917,38133
2014,01113,59608,46439,2664,35760
2014,01115,86697,68612,2463,50146
2014,01117,206655,162388,6255,67754
2014,01121,81322,65751,4172,39971
2014,01123,41165,33250,2339,35854
2014,01125,202212,164202,7305,47531
2014,01127,65471,52819,2418,35495
2014,01133,24150,18777,590,36012
2014,02020,301010,233479,9288,76337
2014,02090,99357,78042,4641,69820
2014,02110,32406,26390,1799,87459
2014,02122,57477,45659,2248,62052
2014,02170,97882,73795,3868,73831
2014,04001,71828,53408,3433,33076
2014,04003,127448,101765,4071,45688
2014,04005,137682,110882,5401,49757
2014,04007,53119,43360,2457,36465
2014,04009,37957,28426,1258,50400
2014,04012,17824,15522,505,31231
2014,04013,4087191,3177041,136421,53896
2014,04015,203361,169731,8900,37674
2014,04017,108101,80529,8504,34600
2014,04019,1004516,809213,43321,45856
2014,04021,401918,314909,12818,49867
2014,04023,46695,35262,1590,39684
2014,04025,218844,186383,8924,44255
2014,04027,203247,155461,8916,40008
2014,05003,20948,15784,1257,33627
2014,05005,40857,34665,612,38794
2014,05007,242321,183996,3968,56981
2014,05009,37196,29608,1306,40132
2014,05015,27744,21747,807,38291
2014,05019,22576,17740,848,40767
2014,05023,25634,21483,1066,36629
2014,05027,23933,20323,483,39592
2014,05029,22441,18458,508,44786
2014,05031,102518,79941,2300,42691
2014,05033,61697,48078,1811,44226
2014,05035,49548,37052,3185,33365
2014,05045,120768,95691,4092,51650
2014,05051,97322,78916,4320,41032
2014,05055,43694,34311,1405,43078
2014,05057,21021,17175,470,31181
2014,05059,33368,26967,955,35107
2014,05063,36959,29099,904,41937
2014,05069,72297,57634,3212,32433
2014,05071,26005,20355,531,34327
2014,05083,21958,17416,1149,37788
2014,05085,71557,54512,1646,54545
2014,05091,43428,33890,1774,41287
2014,05093,44235,34289,2093,32072
2014,05103,24828,19686,486,26871
2014,05111,24246,19329,560,36595
2014,05113,21033,16511,743,34162
2014,05115,63201,49946,1843,38110
2014,05119,392702,310403,12612,44860
2014,05123,26899,21695,770,30836
2014,05125,115719,91164,3105,53926
2014,05131,126776,99294,3536,38418
2014,05139,40227,31840,2141,39507
2014,05143,220792,173021,6554,45034
2014,05145,78592,62219,2241,39340
2014,05149,21951,16614,969,38696
2014,06001,1610921,1303902,57175,77214
2014,06005,36742,31544,1385,57208
2014,06007,224241,184285,9781,42365
2014,06009,44624,37703,1061,54502
2014,06011,21419,16567,717,45938
2014,06013,1111339,880138,44485,80361
2014,06015,27212,20931,938,47383
2014,06017,183087,150238,7029,71113
2014,06019,965974,715954,49939,43423
2014,06021,27955,21081,1122,45093
2014,13177,29191,21047,637,61575
2014,13179,65198,47760,3215,41812
2014,13185,113523,88099,6272,38733
2014,13187,31176,26083,494,39654
2014,13189,21370,15721,1190,31928
2014,13195,28312,21940,1491,48783
2014,13199,20961,16577,757,40319
2014,13205,22771,18510,1468,30783
2014,13207,27051,21623,1387,48840
2014,13213,39410,30730,2073,39054
2014,13215,200887,157501,8763,42176
2014,13217,103675,78693,4900,46790
2014,13219,35093,27199,1181,76053
2014,13223,148987,111651,3872,62453
2014,13225,26922,20983,1557,36798
2014,13227,29997,24637,1071,49038
2014,13233,41133,31540,1494,37941
2014,13237,21270,17444,325,39119
2014,13245,201368,159250,12474,35793
2014,13247,87754,67940,4176,46524
2014,13255,63988,49515,2239,31940
2014,13257,25480,20697,584,35914
2014,13261,31232,24234,1796,33710
2014,13267,24021,19258,154,30895
2014,13275,44959,35127,2218,33756
2014,13277,40704,31535,721,34617
2014,13279,27282,20656,1106,32170
2014,13285,69469,54162,3202,40486
2014,13291,17519,16360,0,40915
2014,13293,26256,20166,940,33879
2014,13295,68218,54659,2993,38493
2014,13297,87615,67499,4831,50895
2014,13299,35515,27991,382,37123
2014,13303,20635,15071,1015,35983
2014,13305,29949,23733,719,45208
2014,13311,26995,22369,580,41286
2014,13313,103542,78906,4415,42069
2014,13321,20940,17807,452,41798
2014,15001,194190,156199,4771,52788
2014,15003,991788,800437,25641,74634
2014,15007,70475,56493,1452,64847
2014,15009,163046,130748,6021,67013
2014,16001,426236,331667,9298,57716
2014,16005,83347,63475,2714,44018
2014,16011,45269,32203,986,46795
2014,16013,20739,16648,193,46933
2014,16017,41585,34016,473,46098
2014,16019,108623,78010,1987,49626
2014,16027,203143,147389,6496,43250
2014,16031,22915,16405,647,41527
2014,16039,25618,19285,1019,44521
2014,16051,27021,18579,670,51590
2014,16053,24312,18333,802,49469
2014,16055,147326,116556,5907,48776
2014,16057,38411,31531,1363,37608
2014,16065,38038,28683,1208,31573
2014,16067,21241,15216,330,48144
2014,16069,40007,32230,1289,45305
2014,16075,22836,17967,533,50292
2014,16083,80914,61340,1517,43624
2014,17001,66988,53348,2174,45606
2014,17007,53869,41352,2506,53205
2014,17011,33840,27393,1093,51759
2014,17019,207133,172166,5931,46776
2014,17021,33892,27851,695,44203
2014,17027,37857,30731,980,60682
2014,17029,53320,45351,1871,37826
2014,17031,5246456,4189024,268687,55069
2014,17037,105462,85440,5138,56450
2014,17043,932708,740124,29891,80015
2014,17049,34320,27086,1524,52165
2014,17051,21870,17564,755,40213
2014,17055,39411,31694,1803,37118
2014,17057,36007,29431,1204,44153
2014,17063,50425,39464,1912,71261
2014,17073,49635,39702,1489,48247
2014,17075,28879,23357,1292,44862
2014,17077,59677,49949,3037,32592
2014,17081,38534,30836,1615,42407
2014,17083,22571,18347,785,42680
2014,17085,22254,18569,781,53474
2014,17089,527306,402711,17807,72541
2014,17091,111375,87990,4238,58378
2014,17093,121350,90593,4639,90072
2014,17095,52069,42839,1452,37128
2014,17097,705186,547584,23118,77772
2014,17099,111241,89430,5504,50432
2014,17103,34735,28250,1255,54855
2014,17105,37903,30931,1247,52576
2014,17107,29746,24266,745,56852
2014,17109,31880,27068,1258,39966
2014,17111,307283,240760,9481,76628
2014,17113,174061,140319,4592,58061
2014,17115,108350,86939,5399,47574
2014,17117,46453,37722,2118,48097
2014,17119,266560,215490,10599,54438
2014,17121,38571,30583,1744,46142
2014,17133,33722,27087,654,70095
2014,17135,29359,23831,739,43298
2014,17137,34929,28628,1387,44708
2014,17141,52085,41748,2136,55831
2014,17143,187319,147919,8041,52352
2014,17145,21672,18150,726,37304
2014,17157,32869,27231,896,48275
2014,17161,146063,118221,5726,47751
2014,17163,265729,209104,8623,50428
2014,17165,24612,19890,1440,36665
2014,17167,198997,158648,7564,55103
2014,17173,22048,17823,640,46516
2014,17177,46435,37861,1567,49314
2014,17179,135707,108570,2651,60801
2014,17183,79728,63364,4324,41690
2014,17195,56876,45662,2163,49700
2014,17197,685419,525677,21863,74828
2014,17199,67008,53713,1719,49153
2014,17201,288542,227907,16426,47121
2014,17203,39187,30767,750,66375
2014,18001,34791,25196,649,50522
2014,18003,365918,279558,13989,48521
2014,18005,80217,62241,2446,53002
2014,18011,61915,47116,1704,64511
2014,18017,38438,30887,1380,44487
2014,18019,114262,90494,3534,52674
2014,18021,26562,21056,1116,39692
2014,18023,32776,25299,1317,52160
2014,18027,32729,24154,576,49620
2014,18029,49506,39627,1954,57860
2014,18031,26524,20898,728,50729
2014,18033,42383,33406,1263,51911
2014,18035,117074,98037,4090,39323
2014,18037,42345,31597,497,50899
2014,18039,201971,150724,4578,49937
2014,18041,22501,17012,530,37140
2014,18043,76179,60307,2650,52819
2014,18047,22934,18031,961,52611
2014,18049,18653,15219,381,43897
2014,18051,33759,26919,554,41356
2014,18053,68569,55619,2458,39851
2014,18055,32726,26472,1391,38021
2014,18057,302623,225340,6224,88155
2014,18059,71978,57109,1707,67485
2014,18061,39299,31904,1506,61162
2014,18063,156056,119723,4109,66989
2014,18065,48995,40217,1836,41009
2014,18067,82982,66303,3459,47159
