Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI
2017,01001,1925,4386,100564,1888,4179,99955
2017,01003,6818,13693,491043,4609,8640,238893
2017,01005,389,839,15215,445,914,16473
2017,01007,376,856,15189,450,954,18686
2017,01009,1211,2482,52661,1148,2459,51327
2017,01011,180,400,5131,175,373,5388
2017,01013,287,625,11470,341,708,11655
2017,01015,2153,4284,85119,2333,4520,94110
2017,01017,785,1578,27038,792,1602,33311
2017,01019,554,1178,28923,441,935,17422
2017,01021,868,1878,37423,782,1670,31426
2017,01023,160,306,6056,185,401,7378
2017,01025,339,758,13919,372,782,15156
2017,01027,250,554,10108,273,566,10205
2017,01029,296,616,12231,304,679,11583
2017,01031,1841,4045,90762,1815,4002,93905
2017,01033,1310,2563,58281,1132,2241,48151
2017,01035,182,375,6471,252,546,8281
2017,01037,288,628,11927,293,593,10977
2017,01039,601,1348,24234,575,1202,23405
2017,01041,278,603,10806,267,558,9794
2017,01043,1490,3109,77215,1326,2638,57170
2017,01045,2170,4984,94792,2269,5347,102323
2017,01047,396,808,13982,728,1521,29459
2017,01049,1139,2440,42618,1199,2586,47723
2017,01051,2459,5034,120603,2187,4506,100134
2017,01053,634,1348,24381,661,1412,25911
2017,01055,1795,3806,76285,1675,3332,64519
2017,01057,300,697,11608,292,613,11361
2017,01059,508,1185,19713,600,1320,22586
2017,01061,587,1331,24270,535,1095,22327
2017,01063,144,271,4688,135,292,4423
2017,01065,293,614,12272,351,741,12970
2017,01067,441,952,18723,403,823,15874
2017,01069,2652,5466,118412,2672,5596,115264
2017,01071,895,1959,43330,890,1819,38548
2017,01073,12207,22400,737503,13629,25833,870315
2017,01075,203,447,7785,209,429,7735
2017,01077,1738,3289,85208,1796,3390,81278
2017,01079,558,1221,22576,612,1208,22502
2017,01081,4683,9563,269264,4706,8895,221088
2017,01083,3100,6669,201811,2125,4525,140568
2017,01085,254,553,9619,291,619,10278
