Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2011,01001,2006,4618,83494,2125,4776,90616,,,,,53944.0,41111.0,1971.0,53899.0,,,,,0.0,0.0,5.0,7.0,3.0
2012,01001,1950,4627,86731,1849,4236,84542,,,,,54590.0,41800.0,2262.0,53773.0,,,,,0.0,0.0,5.0,7.0,3.0
2013,01001,1812,4342,81316,1862,4352,85052,,,,,54907.0,42226.0,2481.0,53682.0,,,,,0.0,0.0,5.0,7.0,3.0
2014,01001,1321,2941,55535,1266,2605,52543,,,,,55136.0,42512.0,2252.0,52475.0,55395.0,43184.0,1500.0,54528.0,0.0,0.0,5.0,7.0,3.0
2015,01001,1870,4326,94250,1677,3928,88748,,,,,55221.0,42801.0,1984.0,51281.0,55347.0,43088.0,1299.0,58892.0,0.0,0.0,5.0,7.0,3.0
2016,01001,2400,5702,125069,2318,5428,130558,,,,,55049.0,42712.0,1437.0,53099.0,55416.0,43186.0,491.0,53069.0,0.0,0.0,5.0,7.0,3.0
2017,01001,1925,4386,100564,1888,4179,99955,,,,,55036.0,42974.0,1324.0,55317.0,55504.0,43481.0,1146.0,48375.0,0.0,0.0,5.0,7.0,3.0
2018,01001,1917,4307,104525,1758,3960,95832,,,,,55200.0,43368.0,1065.0,58786.0,55601.0,45046.0,855.0,54936.0,0.0,0.0,5.0,7.0,3.0
2019,01001,2169,4909,120570,1914,4336,111235,,,,,55380.0,43953.0,936.0,58731.0,55869.0,45865.0,1038.0,52241.0,0.0,0.0,5.0,7.0,3.0
2020,01001,2104,4587,123290,1918,4141,113574,,,,,55639.0,44360.0,736.0,57982.0,,,,,0.0,0.0,5.0,7.0,3.0
2011,01003,5633,11518,312469,4327,8728,185919,186717.0,148529.0,8362.0,50900.0,179523.0,142830.0,6631.0,51321.0,,,,,0.0,14.0,7.0,11.0,4.0
2012,01003,6036,12340,370999,4330,8609,208263,190790.0,153467.0,8120.0,48378.0,183226.0,146042.0,7513.0,50706.0,,,,,0.0,14.0,7.0,11.0,4.0
2013,01003,5902,12068,329067,4197,8113,198584,195540.0,156685.0,6822.0,44874.0,187114.0,149574.0,8327.0,50221.0,,,,,0.0,14.0,7.0,11.0,4.0
