Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2014,01003,4277,8342,269597,3350,6178,124715,200111,160204,6760,48461,191205,152829.0,7856.0,50183.0,200111,160204.0,6760.0,48461.0,0.0,14.0,7.0,11.0,4.0
2015,01003,6069,12223,392252,4186,8023,220426,203709,164125,4710,52003,195121,156379.0,6972.0,50254.0,203709,164125.0,4710.0,52003.0,0.0,14.0,7.0,11.0,4.0
2016,01003,8828,17981,594263,5258,10091,286198,208563,168216,3360,56732,199510,160301.0,5887.0,51365.0,208563,168216.0,3360.0,56732.0,0.0,14.0,7.0,11.0,4.0
2017,01003,6818,13693,491043,4609,8640,238893,212628,172791,5203,55342,203360,163759.0,5215.0,52562.0,212628,172791.0,5203.0,55342.0,0.0,14.0,7.0,11.0,4.0
2018,01003,6448,12508,476155,4345,8083,263236,218022,176222,2480,56813,208107,167712.0,4343.0,55962.0,218022,176222.0,2480.0,56813.0,0.0,14.0,7.0,11.0,4.0
2019,01003,7433,14950,628150,4823,9137,280086,223234,183875,5549,56439,212830,172297.0,4226.0,58320.0,223234,183875.0,5549.0,56439.0,0.0,14.0,7.0,11.0,4.0
2014,01015,1648,3263,57196,1947,3790,72434,115916,93147,5595,41428,117186,93690.0,7257.0,40919.0,115916,93147.0,5595.0,41428.0,0.0,1.0,9.0,21.0,4.0
2015,01015,2103,4239,74820,2249,4587,93687,115620,93323,5289,42346,116648,93346.0,6635.0,41703.0,115620,93323.0,5289.0,42346.0,0.0,1.0,9.0,21.0,4.0
2016,01015,2570,5306,105262,2839,5651,122960,114611,92847,4778,41687,115883,93229.0,6218.0,41954.0,114611,92847.0,4778.0,41687.0,0.0,1.0,9.0,21.0,4.0
2017,01015,2153,4284,85119,2333,4520,94110,114728,92869,3399,46763,115527,93148.0,5309.0,43686.0,114728,92869.0,3399.0,46763.0,0.0,1.0,9.0,21.0,4.0
2018,01015,1992,4031,84381,2298,4431,98018,114277,93284,4330,45818,115098,93023.0,4628.0,45197.0,114277,93284.0,4330.0,45818.0,0.0,1.0,9.0,21.0,4.0
2019,01015,2262,4677,114034,2353,4622,101281,113605,92308,3754,48156,114618,92886.0,4210.0,47255.0,113605,92308.0,3754.0,48156.0,0.0,1.0,9.0,21.0,4.0
2014,01043,1101,2297,45399,1018,2083,37111,81289,64854,1862,38261,80668,64539.0,3204.0,39415.0,81289,64854.0,1862.0,38261.0,0.0,14.0,4.0,0.0,5.0
2015,01043,1349,2844,68342,1195,2339,44856,82005,66026,1452,37862,80965,64915.0,2525.0,38971.0,82005,66026.0,1452.0,37862.0,0.0,14.0,4.0,0.0,5.0
2016,01043,1825,3770,85566,1443,3124,63210,82471,66852,1602,39411,81316,65220.0,2081.0,39297.0,82471,66852.0,1602.0,39411.0,0.0,14.0,4.0,0.0,5.0
2017,01043,1490,3109,77215,1326,2638,57170,82755,66972,2718,45044,81703,65472.0,1962.0,40997.0,82755,66972.0,2718.0,45044.0,0.0,14.0,4.0,0.0,5.0
2018,01043,1462,3047,76251,1259,2511,52833,83442,66680,1616,44612,82313,65879.0,1903.0,42558.0,83442,66680.0,1616.0,44612.0,0.0,14.0,4.0,0.0,5.0
2019,01043,1863,3931,122265,1346,2703,68480,83768,66939,1783,50906,82853,66350.0,1835.0,44918.0,83768,66939.0,1783.0,50906.0,0.0,14.0,4.0,0.0,5.0
2014,01049,1013,2319,30353,990,2153,30413,71065,55547,1355,35023,71074,55312.0,2893.0,37977.0,71065,55547.0,1355.0,35023.0,0.0,13.0,1.0,0.0,6.0
2015,01049,1071,2351,36363,1107,2443,36028,71130,55330,1664,36559,71068,55469.0,2322.0,38192.0,71130,55330.0,1664.0,36559.0,0.0,13.0,1.0,0.0,6.0
2016,01049,1469,3381,60728,1321,2755,46916,70900,56314,1551,35963,70937,55542.0,1894.0,38248.0,70900,56314.0,1551.0,35963.0,0.0,13.0,1.0,0.0,6.0
2017,01049,1139,2440,42618,1199,2586,47723,71617,55888,1238,39373,71194,55678.0,1529.0,38842.0,71617,55888.0,1238.0,39373.0,0.0,13.0,1.0,0.0,6.0
2018,01049,1116,2398,46393,1101,2281,41315,71385,57239,988,36998,71200,55947.0,1351.0,39233.0,71385,57239.0,988.0,36998.0,0.0,13.0,1.0,0.0,6.0
2019,01049,1399,2987,60849,1191,2519,48270,71513,56471,1606,44208,71310,56091.0,1219.0,40440.0,71513,56471.0,1606.0,44208.0,0.0,13.0,1.0,0.0,6.0
2014,01051,1738,3638,68565,1603,3332,64983,80977,64514,3373,55530,80321,63990.0,3229.0,54159.0,80977,64514.0,3373.0,55530.0,0.0,1.0,7.0,7.0,3.0
2015,01051,2369,5025,121970,2148,4517,102346,81468,64989,1608,52502,80763,64498.0,3029.0,53555.0,81468,64989.0,1608.0,52502.0,0.0,1.0,7.0,7.0,3.0
2016,01051,3107,6617,170982,3006,6400,151621,81799,65296,1743,52579,80957,64703.0,2694.0,53398.0,81799,65296.0,1743.0,52579.0,0.0,1.0,7.0,7.0,3.0
2017,01051,2459,5034,120603,2187,4506,100134,81677,65901,2391,60558,80989,64931.0,2613.0,54981.0,81677,65901.0,2391.0,60558.0,0.0,1.0,7.0,7.0,3.0
2018,01051,2280,4803,119509,2159,4523,108164,81887,65407,1903,60796,81212,65199.0,2219.0,59347.0,81887,65407.0,1903.0,60796.0,0.0,1.0,7.0,7.0,3.0
2019,01051,2640,5591,156265,2246,4717,152910,81209,65674,1014,61854,81144,65170.0,1652.0,60891.0,81209,65674.0,1014.0,61854.0,0.0,1.0,7.0,7.0,3.0
2014,01055,1237,2543,45362,1369,2748,49803,103531,83571,5011,40529,104126,83490.0,4834.0,38467.0,103531,83571.0,5011.0,40529.0,0.0,3.0,5.0,22.0,4.0
2015,01055,1609,3342,61543,1607,3294,62664,103057,82860,2084,43346,103766,83390.0,4091.0,39220.0,103057,82860.0,2084.0,43346.0,0.0,3.0,5.0,22.0,4.0
2016,01055,2143,4510,88861,2020,4149,88873,102564,83107,2799,41152,103363,83436.0,3837.0,40478.0,102564,83107.0,2799.0,41152.0,0.0,3.0,5.0,22.0,4.0
2017,01055,1795,3806,76285,1675,3332,64519,102755,83116,2482,41576,103132,83397.0,3406.0,42064.0,102755,83116.0,2482.0,41576.0,0.0,3.0,5.0,22.0,4.0
2018,01055,1589,3194,70283,1662,3361,70944,102501,82575,2406,45868,102939,83391.0,2945.0,44023.0,102501,82575.0,2406.0,45868.0,0.0,3.0,5.0,22.0,4.0
2019,01055,1913,4066,88903,1812,3677,81577,102268,82584,2928,41447,102748,83242.0,2499.0,44637.0,102268,82584.0,2928.0,41447.0,0.0,3.0,5.0,22.0,4.0
2014,01069,1995,4176,68215,2061,4260,70944,104193,82477,3994,39543,103079,81209.0,3901.0,41077.0,104193,82477.0,3994.0,39543.0,0.0,0.0,7.0,15.0,4.0
2015,01069,2371,4952,94676,2458,5266,108272,104173,82231,3713,43553,103534,81625.0,3983.0,41571.0,104173,82231.0,3713.0,43553.0,0.0,0.0,7.0,15.0,4.0
2016,01069,3086,6450,139078,3019,6511,145670,104056,82539,3418,42321,103891,82090.0,3845.0,41945.0,104056,82539.0,3418.0,42321.0,0.0,0.0,7.0,15.0,4.0
2017,01069,2652,5466,118412,2672,5596,115264,104346,83213,2642,44529,104108,82515.0,3642.0,42803.0,104346,83213.0,2642.0,44529.0,0.0,0.0,7.0,15.0,4.0
2018,01069,2601,5361,119113,2404,4878,112335,104722,83421,2842,48105,104352,82833.0,3354.0,45496.0,104722,83421.0,2842.0,48105.0,0.0,0.0,7.0,15.0,4.0
2019,01069,2794,5677,125780,2620,5501,135150,105882,84474,2886,50103,104702,83196.0,3043.0,47580.0,105882,84474.0,2886.0,50103.0,0.0,0.0,7.0,15.0,4.0
2014,01073,9730,17819,455308,10753,20655,560502,660793,525561,28379,44646,658834,522746.0,32049.0,45239.0,660793,525561.0,28379.0,44646.0,0.0,0.0,7.0,156.0,1.0
2015,01073,12212,22638,673368,13369,25873,840908,660367,524885,25734,48492,659026,523210.0,29430.0,45610.0,660367,524885.0,25734.0,48492.0,0.0,0.0,7.0,156.0,1.0
2016,01073,15342,28833,1107015,16951,33167,1049043,659521,525539,22588,50180,659096,523961.0,26632.0,47220.0,659521,525539.0,22588.0,50180.0,0.0,0.0,7.0,156.0,1.0
2017,01073,12207,22400,737503,13629,25833,870315,659197,523765,21065,50709,659460,524242.0,25044.0,49321.0,659197,523765.0,21065.0,50709.0,0.0,0.0,7.0,156.0,1.0
2018,01073,11867,21522,770000,13020,24092,902964,659300,527740,21547,55206,659892,525347.0,23663.0,51979.0,659300,527740.0,21547.0,55206.0,0.0,0.0,7.0,156.0,1.0
2019,01073,12269,22296,802054,14308,27805,1059799,658573,524669,15543,53944,659680,525234.0,21107.0,53901.0,658573,524669.0,15543.0,53944.0,0.0,0.0,7.0,156.0,1.0
2014,01077,1302,2512,61886,1378,2630,55500,93096,75582,3533,40309,92780,75673.0,3444.0,42703.0,93096,75582.0,3533.0,40309.0,0.0,2.0,7.0,13.0,4.0
2015,01077,1681,3252,72490,1733,3302,72601,92596,75748,2407,42577,92737,75897.0,3030.0,43125.0,92596,75748.0,2407.0,42577.0,0.0,2.0,7.0,13.0,4.0
