PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-16,30-SEP-17,Settled,252677722,827569875,765640392
010005,01-OCT-16,30-SEP-17,Settled,120587463,117128269,319150101
010006,01-JUL-17,30-JUN-18,Settled,128951353,446149347,364874677
010007,01-OCT-16,30-SEP-17,Settled,14774734,16819694,30154610
010008,01-JAN-17,31-DEC-17,Settled,10102274,13532989,18765258
010011,01-JUL-17,30-JUN-18,Settled,207772057,664495151,528543248
010012,01-APR-17,31-MAR-18,Settled,45289851,149890287,262460556
010016,01-JAN-17,31-DEC-17,Settled,139705707,690848327,470555794
010018,01-OCT-16,30-SEP-17,Settled,35465623,1072291,140334774
010019,01-OCT-16,30-SEP-17,Settled,84621695,137583793,270846457
010021,01-OCT-16,30-SEP-17,Settled,26317923,23017608,61061048
010022,01-APR-17,31-MAR-18,Settled,13280574,16860838,70813975
010023,01-JUL-17,30-JUN-18,Settled,400487347,733525665,760903785
010024,01-JAN-17,31-DEC-17,Settled,170996102,624056822,376459023
010029,01-OCT-16,30-SEP-17,Settled,266332214,292102055,431803642
010032,01-OCT-16,30-SEP-17,Settled,8422374,3510041,16614567
010033,01-OCT-16,30-SEP-17,Reopened,1299275950,3863862478,2580788348
010034,01-OCT-16,30-SEP-17,Settled,15688191,14236417,25590859
010035,01-JUL-17,30-JUN-18,Settled,98827138,218205779,282873634
010036,01-APR-17,31-MAR-18,Settled,32333733,109752346,148517554
010038,01-MAY-17,30-SEP-17,Settled,14154626,71223234,124711453
010039,01-JUL-17,30-JUN-18,Settled,852920926,2579181414,2404404078
010040,01-OCT-16,30-SEP-17,Settled w/Audit,172199225,1434187643,1073089790
010044,01-OCT-16,30-SEP-17,Settled,21848354,26288651,47201494
010045,01-OCT-16,30-SEP-17,Reopened,24787866,25521871,51729733
010046,01-JAN-17,31-DEC-17,Reopened,79704318,494448576,409152682
010047,01-JAN-17,31-DEC-17,Settled,5597976,2541939,7545811
010049,01-JAN-17,31-DEC-17,Settled,43299969,159799128,412906658
010051,01-OCT-16,30-SEP-17,Settled,8953265,6017729,5665206
010052,01-JAN-17,31-DEC-17,Settled,13189722,3799854,18689728
010055,01-OCT-16,30-SEP-17,Reopened,179298631,812128473,1044849637
010056,01-JUL-17,30-JUN-18,Settled,391664084,900828836,1176349071
010058,01-OCT-16,30-SEP-17,Settled,17116711,12712740,17143566
010059,01-OCT-16,30-SEP-17,Settled,12859177,6786528,30139427
010061,01-OCT-16,30-SEP-17,Settled,48126293,45461236,79421091
010062,01-OCT-16,30-SEP-17,Settled,21501004,26348846,33023116
010065,01-JAN-17,31-DEC-17,Settled,59265304,46440575,181837776
010069,01-OCT-16,30-SEP-17,Settled,14041329,22607340,40383949
010073,01-OCT-16,30-SEP-17,Settled,16489736,14202553,16804479
010078,01-JUL-17,30-SEP-17,Settled,39427870,142831039,170842550
010079,01-JUL-17,30-JUN-18,Settled,57074537,90206059,185006258
010083,01-OCT-16,30-SEP-17,Settled,84975485,445667666,653098649
010085,01-APR-17,31-MAR-18,Settled,115033910,201362159,253893628
010086,01-JAN-17,31-DEC-17,Settled,22143490,30710481,89970637
010087,01-OCT-16,30-SEP-17,Settled w/Audit,160068578,242410402,207837416
010089,01-JAN-17,31-DEC-17,Settled,78969798,291477238,328177698
