hosp10 REPORT COUNTS  BY STATUS BY YEAR FOR THE QUARTER ENDING 2023-12-31                                                           
Year,          Amended,       As Submitted,  Reopened,      Settled,       Settled w/Audit,Sum                                      
2010,          31,            85,            646,           1419,          142,           2323                                      
2011,          70,            198,           1918,          3676,          288,           6150                                      
2012,          51,            105,           2141,          3617,          313,           6227                                      
2013,          61,            48,            1819,          4070,          250,           6248                                      
2014,          31,            20,            2335,          3636,          228,           6250                                      
2015,          37,            26,            1925,          4015,          254,           6257                                      
2016,          36,            38,            1518,          4269,          350,           6211                                      
2017,          56,            53,            939,           4717,          409,           6174                                      
2018,          172,           189,           572,           4820,          407,           6160                                      
2019,          359,           552,           225,           4759,          226,           6121                                      
2020,          1178,          2206,          67,            2562,          45,            6058                                      
2021,          1142,          3564,          7,             1320,          18,            6051                                      
2022,          297,           5080,          0,             294,           0,             5671                                      
2023,          0,             51,            0,             12,            0,             63                                        
Sum,           3521,          12215,         14112,         43186,         2930,          75964                                     
