HOSP10 RECORD COUNTS BY YEAR FOR THE QUARTER ENDING 2023-12-31 [HOSP10.HOSP10]                                                      
FY,       RPT count,  ALPHA count,    NMRC count,     ROLLUP count                                                                  
2010 ,         2323,      1354215,      7421335,       775680                                                                       
2011 ,         6150,      3549205,     19402821,      2095952                                                                       
2012 ,         6227,      3612479,     19759605,      2137122                                                                       
2013 ,         6248,      3684921,     20024293,      2212316                                                                       
2014 ,         6250,      3703910,     20083964,      2472871                                                                       
2015 ,         6257,      3715660,     20053241,      2513943                                                                       
2016 ,         6211,      3730189,     19965025,      2311250                                                                       
2017 ,         6174,      3726669,     20002482,      3191517                                                                       
2018 ,         6160,      3732703,     20063045,      5707394                                                                       
2019 ,         6121,      3741785,     19963557,      5701678                                                                       
2020 ,         6058,      3716044,     19677450,      5301895                                                                       
2021 ,         6051,      3702591,     19566626,      5070843                                                                       
2022 ,         5671,      3474825,     18423702,      1833838                                                                       
2023 ,           63,        32093,       164967,        16598                                                                       
TOTAL,        75964,     45477289,    244572113,     41342897                                                                       
