PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-20,30-SEP-21,As Submitted,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,3462556,,,1651616,,,.1222,1284447,587865,326,118990,28677,11334,101608,39,2516.04,,4725,2829,17818,53,,,,,,
010005,01-OCT-20,30-SEP-21,Amended,MARSHALL MEDICAL CENTERS SOUTH          ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,523730,,,.12,,,192,70080,11441,7741,37391,,1293,,1903,1409,6834,,,,,,,
010006,01-JUL-21,30-JUN-22,As Submitted,NORTH ALABAMA MEDICAL CENTER            ,1701 VETERANS DRIVE                     ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,2309773,,,689608,,,.0819,1576981,613149,223,81395,19235,7445,60090,36,973.78,,3369,1208,11701,97,,,,,,
010007,01-OCT-20,30-SEP-21,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,40879,,,.0422,,,45,16425,3057,597,6517,,144.13,,481,121,1213,,,,20,,163,
010008,01-JAN-21,31-DEC-21,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,11410,,,.0489,,,29,10585,717,126,1738,,125.3,,148,34,353,,,,85,,360,
010011,01-JUL-21,30-JUN-22,As Submitted,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,956518,,,308782,,,.0517,1293809,354528,275,100375,14771,9308,78475,26.99,954.42,,2225,1413,12222,,,,34,2,319,209
010012,01-APR-21,31-MAR-22,As Submitted,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,141732,,,.1119,,,97,35405,3036,2017,10461,,296.98,,612,484,2440,,,,7,,196,
010016,01-JAN-21,31-DEC-21,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,171991,,,.0346,,,212,77380,10567,4874,44191,,609,,1757,769,7949,,,,124,,841,
010018,01-OCT-20,30-SEP-21,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,94422,,,,,,,15636,232888,6,2190,98,23,345,6.19,246.94,,31,12,148,,,,,,,
010019,01-OCT-20,30-SEP-21,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,480537,,,.1212,,,172,62780,10361,6088,28926,,737.67,,2043,1940,6973,,,,,,,
