ZIP,state,name,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,fr1pct,fr2pct,fr3pct,fr4pct
00002,AK,Yukon Flats Nat Wildlife,1,1,1,1,607,"95,707",0.0,606.4550106,606.4550106,606.4550106,606.4550106,99.96791067,99.96791067,99.96791067,99.96791067
00007,AK,Southerly North Slope Bo,1,1,1,1,82,"65,388",0.0,81.6690849,81.6690849,81.6690849,81.6690849,100,100,100,100
99723,AK,Barrow,1,1,1,0,"4,714","20,301",0.2,4713.558186,4713.558186,4713.558186,682.6115643,100,100,100,14.48187414
99559,AK,Bethel,1,1,1,1,"11,984","18,097",0.7,11983.63138,11983.63138,11983.63138,6710.332216,100,100,100,55.99581632
99573,AK,Copper Center,1,1,1,1,"1,896","17,741",0.1,1896.342902,1896.342902,1896.342902,1896.342902,100,100,100,100
99627,AK,Mc Grath,1,1,1,1,416,"17,184",0.0,415.9356925,415.9356925,415.9356925,415.9356925,100,100,100,100
99780,AK,Tok,1,1,1,1,"2,035","16,725",0.1,2035.386895,2035.386895,2035.386895,2035.386895,100,100,100,100
00006,AK,Matanuska-Sustina Bor,1,1,1,1,203,"16,291",0.0,203.2627377,201.9735535,201.9735535,201.9735535,100,99.36575479,99.36575479,99.36575479
00001,AK,N Dillingham Census Area,1,1,1,1,79,"16,279",0.0,79.33774469,79.33774469,79.33774469,79.33774469,100,100,100,100
00003,AK,Alaska Peninsula NWR,1,1,1,1,135,"14,491",0.0,134.7242693,134.7242693,134.7242693,134.7242693,100,100,100,100
99557,AK,Aniak,1,1,1,1,350,"12,874",0.0,349.9571811,349.9571811,349.9571811,349.9571811,100,100,100,100
89049,NV,Tonopah,1,1,1,1,"2,910","10,247",0.3,2910.24914,2910.24914,2910.24914,2910.24914,100,100,100,100
99749,AK,Kiana,1,1,1,1,583,"9,942",0.1,582.9759079,582.9759079,582.9759079,582.9759079,100,100,100,100
99737,AK,Delta Junction,1,1,1,1,"4,993","9,345",0.5,4981.098478,4981.098478,4981.098478,4981.098478,99.76638185,99.76638185,99.76638185,99.76638185
99741,AK,Galena,1,1,1,1,128,"8,850",0.0,127.8110345,127.8110345,127.8110345,127.8110345,100,100,100,100
