GEOID,FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
01001,0.0,0,5,7,3
01003,0.0,14,7,11,4
01005,0.0,9,0,0,6
01007,0.0,0,4,0,2
01009,0.0,5,4,0,2
01011,0.0,0,3,0,6
01013,0.0,7,2,0,6
01015,0.0,1,9,21,4
01017,0.0,2,7,0,5
01019,0.0,3,3,0,6
01021,0.0,6,3,0,2
01023,100.0,4,0,0,6
01025,87.5,8,1,0,6
01027,0.0,2,2,0,6
01029,0.0,1,3,0,6
01031,14.285714285714286,8,6,0,5
01033,0.0,0,5,9,4
01035,60.0,5,0,0,6
01037,0.0,3,0,0,5
01039,50.0,13,1,0,6
01041,23.076923076923077,2,4,0,6
01043,0.0,14,4,0,5
01045,0.0,2,11,1,5
01047,20.0,7,8,0,5
01049,0.0,13,1,0,6
01051,0.0,1,7,7,3
01053,28.571428571428573,9,0,0,6
01055,0.0,3,5,22,4
01057,12.5,4,1,0,6
01059,0.0,4,5,0,6
01061,0.0,1,5,0,4
01063,0.0,0,3,0,6
01065,14.285714285714286,0,6,0,4
01067,0.0,1,5,0,4
01069,0.0,0,7,15,4
01071,0.0,5,6,0,5
01073,0.0,0,7,156,1
01075,55.55555555555556,3,0,0,6
01077,0.0,2,7,13,4
01079,0.0,3,6,0,4
01081,0.0,0,4,23,4
01083,0.0,4,9,3,3
01085,0.0,0,4,0,3
01087,0.0,7,5,0,6
01089,0.0,0,7,66,3
01091,76.92307692307692,6,0,0,6
01093,16.666666666666668,8,0,0,6
01095,0.0,5,13,0,5
01097,0.0,2,11,102,3
01099,80.0,6,1,0,6
01101,0.0,0,10,55,3
01103,0.0,1,7,19,4
01105,20.0,3,0,0,6
01107,0.0,1,4,0,4
01109,0.0,2,6,0,5
01111,0.0,6,0,0,6
01113,0.0,0,4,9,3
01115,0.0,2,10,1,2
01117,0.0,1,8,39,2
01119,37.5,4,0,0,6
01121,0.0,8,13,1,5
01123,0.0,8,2,0,6
01125,0.0,0,9,38,4
01127,0.0,3,15,0,2
01129,36.36363636363637,2,3,0,6
01131,90.9090909090909,4,0,0,6
01133,0.0,6,1,0,6
02013,100.0,1,0,0,6
02016,100.0,2,0,0,6
02020,0.0,0,7,48,3
02050,100.0,3,0,0,6
02060,100.0,1,0,0,6
02068,100.0,1,0,0,6
02070,100.0,2,0,0,6
02090,0.0,1,4,14,4
02100,100.0,1,0,0,6
02110,100.0,0,6,0,5
02122,100.0,13,0,0,6
02150,100.0,5,0,0,6
02164,100.0,1,0,0,6
02170,57.142857142857146,11,13,0,3
02180,100.0,2,0,0,6
02185,100.0,3,0,0,6
02188,100.0,2,0,0,6
02220,100.0,2,0,0,6
02240,100.0,2,0,0,6
02261,100.0,3,0,0,6
02270,100.0,1,0,0,6
02282,100.0,1,0,0,6
02290,93.10344827586206,4,0,0,6
04001,100.0,14,2,0,6
04003,17.647058823529413,12,8,12,4
04005,64.70588235294117,10,3,15,4
04007,55.55555555555556,4,12,0,5
04009,85.71428571428571,3,6,0,5
04011,100.0,3,0,0,6
04012,80.0,8,1,0,6
04013,0.0,11,59,846,1
04015,26.31578947368421,8,23,12,4
04017,95.0,27,4,0,5
04019,4.25531914893617,5,27,209,3
04021,0.0,11,24,40,2
04023,0.0,2,8,0,5
04025,7.407407407407407,12,12,18,4
04027,0.0,4,11,40,4
05001,45.45454545454545,8,0,0,6
05003,55.55555555555556,7,0,0,6
05005,100.0,5,4,0,5
05007,0.0,1,10,38,3
05009,40.0,4,3,0,5
05011,75.0,5,0,0,6
05013,50.0,2,0,0,5
05015,0.0,5,0,0,6
05017,80.0,4,0,0,6
05019,0.0,2,3,0,5
05021,8.333333333333334,6,0,0,6
05023,25.0,7,0,0,6
05025,0.0,0,2,0,4
05027,28.571428571428573,3,2,0,5
05029,0.0,5,1,0,6
05031,0.0,1,3,13,4
05033,0.0,0,4,7,3
05035,0.0,0,4,16,2
05037,0.0,5,1,0,6
05039,0.0,3,0,0,6
05041,37.5,5,0,0,6
05043,37.5,5,0,0,6
05045,0.0,0,9,16,3
05047,0.0,1,2,0,6
05049,100.0,2,0,0,6
05051,0.0,2,3,15,4
05053,0.0,1,3,0,3
05055,0.0,4,5,0,5
05057,0.0,5,0,0,6
05059,0.0,1,6,0,5
05061,16.666666666666668,3,0,0,6
05063,36.8421052631579,4,4,0,5
05065,100.0,4,0,0,6
05067,0.0,5,0,0,6
05069,0.0,2,4,18,4
05071,10.0,6,0,0,6
05073,0.0,2,0,0,6
05075,0.0,5,1,0,6
05077,37.5,4,0,0,6
05079,0.0,1,3,0,4
05081,0.0,4,0,0,4
05083,0.0,5,1,0,6
05085,0.0,3,5,8,3
05087,0.0,0,4,0,3
05089,90.9090909090909,4,0,0,6
05091,0.0,0,3,9,4
05093,0.0,7,5,0,5
05095,40.0,3,0,0,6
05097,0.0,3,0,0,6
05099,0.0,3,0,0,6
05101,69.23076923076923,2,0,0,5
05103,71.42857142857143,3,3,0,5
05105,0.0,1,2,0,3
05107,75.0,2,4,0,5
05109,0.0,3,0,0,6
