,label,concept
K202701_008E,Estimate!!Total:!!65 years and over:,Age by Health Insurance Coverage Status
K202701_003E,Estimate!!Total:!!Under 19 years:!!With health insurance coverage,Age by Health Insurance Coverage Status
K202701_001E,Estimate!!Total:,Age by Health Insurance Coverage Status
K202701_007E,Estimate!!Total:!!19 to 64 years:!!No health insurance coverage,Age by Health Insurance Coverage Status
K202701_002E,Estimate!!Total:!!Under 19 years:,Age by Health Insurance Coverage Status
K202701_004E,Estimate!!Total:!!Under 19 years:!!No health insurance coverage,Age by Health Insurance Coverage Status
K202701_010E,Estimate!!Total:!!65 years and over:!!No health insurance coverage,Age by Health Insurance Coverage Status
K202701_005E,Estimate!!Total:!!19 to 64 years:,Age by Health Insurance Coverage Status
K202701_009E,Estimate!!Total:!!65 years and over:!!With health insurance coverage,Age by Health Insurance Coverage Status
K202701_006E,Estimate!!Total:!!19 to 64 years:!!With health insurance coverage,Age by Health Insurance Coverage Status
ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification
in,Census API FIPS 'in' clause,Census API Geography Specification
for,Census API FIPS 'for' clause,Census API Geography Specification
K200501PR_003E,Estimate!!Total:!!Not a U.S. citizen,Citizenship Status in Puerto Rico
K200501PR_002E,Estimate!!Total:!!U.S. citizen,Citizenship Status in Puerto Rico
K200501PR_001E,Estimate!!Total:,Citizenship Status in Puerto Rico
GEO_ID,Geography,Citizenship Status in Puerto Rico;Place of Birth in the United States;Place of Birth in Puerto Rico;Geographical Mobility in the Past Year in the United States;Geographical Mobility in the Past Year in Puerto Rico;Means of Transportation to Work;Travel Time to Work;Household Type;Marital Status for the Population 15 Years and Over;Own Children Under 18 Years by Family Type;Households by Presence of People 60 Years and Over by Household Type;School Enrollment by Level of School for the Population 3 Years and Over;Educational Attainment for the Population 25 Years and Over;Household Language;Poverty Status in the Past 12 Months by Age;Ratio of Income to Poverty Level in the Past 12 Months;Poverty Status in the Past 12 Months of Families by Household Type;Disability Status by Age;Work Experience by Disability Status;Types of Disabilities;Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars);Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars);Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars);Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars);Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars);Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months;Veteran Status for the Civilian Population 18 Years and Over by Age;Service-Connected Disability-Rating Status for Civilian Veterans 18 Years and Over;Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households;Employment Status for the Population 16 Years and Over;Sex by Full-Time Work Status in the Past 12 Months for the Population 16 to 64 Years;Occupation for the Civilian Employed Population 16 Years and Over;Class of Worker for the Civilian Employed Population 16 Years and Over;Industry for the Civilian Employed Population 16 Years and Over;Occupancy Status;Housing Tenure;Total Population in Occupied Housing Units by Tenure;Units in Structure;Year Structure Built;Year Householder Moved Into Unit;Gross Rent;Mortgage Status;Housing Value;Median Value (Dollars);Median Gross Rent (Dollars);Group Quarters Population;Age by Health Insurance Coverage Status;Private Health Insurance Status;Public Health Insurance Status;Presence of a Computer and Type of Internet Subscription in Household;Unweighted Housing Unit Sample;Unweighted Total Population Sample;Population by Sex;Population Under 18 Years by Age;Median Age by Sex;Population by Age;Race;Hispanic or Latino Origin;Citizenship Status in the United States
K200501_002E,Estimate!!Total:!!U.S. citizen,Citizenship Status in the United States
K200501_001E,Estimate!!Total:,Citizenship Status in the United States
K200501_003E,Estimate!!Total:!!Not a U.S. citizen,Citizenship Status in the United States
K202402_007E,Estimate!!Total:!!Federal government workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_004E,Estimate!!Total:!!Private not-for-profit wage and salary workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_005E,Estimate!!Total:!!Local government workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_006E,Estimate!!Total:!!State government workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_008E,Estimate!!Total:!!Self-employed in own not incorporated business workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_003E,Estimate!!Total:!!Self-employed in own incorporated business workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_001E,Estimate!!Total:,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_009E,Estimate!!Total:!!Unpaid family workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K202402_002E,Estimate!!Total:!!Employee of private company workers,Class of Worker for the Civilian Employed Population 16 Years and Over
K201801_005E,Estimate!!Total:!!With a disability:!!65 years and over,Disability Status by Age
K201801_006E,Estimate!!Total:!!No disability,Disability Status by Age
K201801_004E,Estimate!!Total:!!With a disability:!!18 to 64 years,Disability Status by Age
K201801_002E,Estimate!!Total:!!With a disability:,Disability Status by Age
K201801_003E,Estimate!!Total:!!With a disability:!!Under 18 years,Disability Status by Age
K201801_001E,Estimate!!Total:,Disability Status by Age
K201501_003E,"Estimate!!Total:!!9th to 12th grade, no diploma",Educational Attainment for the Population 25 Years and Over
K201501_006E,Estimate!!Total:!!Associate's degree,Educational Attainment for the Population 25 Years and Over
